Age,N,Mean,S.D.,L,M,S,Z (LMS),P5,P10,P25,P50,P75,P90,P95,Sex,Bone 
7,37,1.22,0.12,0.032,1.207,0.1,0.12,1.01,1.05,1.13,1.21,1.29,1.36,1.41,M,falange distal do terceiro dedo
8,55,1.28,0.12,0.032,1.265,0.1,0.1,1.06,1.1,1.18,1.27,1.35,1.43,1.47,M,falange distal do terceiro dedo
9,49,1.34,0.17,0.032,1.326,0.1,0.08,1.11,1.16,1.24,1.33,1.42,1.5,1.54,M,falange distal do terceiro dedo
10,55,1.38,0.14,0.032,1.389,0.1,-0.08,1.16,1.21,1.3,1.39,1.48,1.57,1.62,M,falange distal do terceiro dedo
11,46,1.45,0.16,0.032,1.455,0.1,-0.02,1.22,1.27,1.36,1.46,1.55,1.64,1.69,M,falange distal do terceiro dedo
12,62,1.54,0.14,0.032,1.525,0.1,0.11,1.27,1.33,1.42,1.52,1.63,1.72,1.78,M,falange distal do terceiro dedo
13,50,1.64,0.19,0.032,1.598,0.1,0.25,1.33,1.39,1.49,1.6,1.71,1.8,1.86,M,falange distal do terceiro dedo
14,45,1.69,0.13,0.032,1.674,0.1,0.12,1.4,1.46,1.56,1.67,1.79,1.89,1.95,M,falange distal do terceiro dedo
15,43,1.72,0.13,0.032,1.754,0.1,-0.2,1.47,1.53,1.64,1.75,1.87,1.98,2.04,M,falange distal do terceiro dedo
6,42,1.85,0.17,-0.152,1.846,0.084,0.06,1.54,1.61,1.72,1.85,1.97,2.08,2.15,M,falange média do terceiro dedo
7,37,1.95,0.15,-0.152,1.923,0.084,0.16,1.61,1.68,1.79,1.92,2.05,2.17,2.24,M,falange média do terceiro dedo
8,55,1.99,0.16,-0.152,2.004,0.084,-0.07,1.67,1.75,1.87,2,2.14,2.26,2.33,M,falange média do terceiro dedo
9,49,2.12,0.2,-0.152,2.089,0.084,0.19,1.75,1.82,1.95,2.09,2.23,2.36,2.43,M,falange média do terceiro dedo
10,55,2.15,0.16,-0.152,2.177,0.084,-0.15,1.82,1.9,2.03,2.18,2.32,2.46,2.53,M,falange média do terceiro dedo
11,46,2.27,0.22,-0.152,2.268,0.084,0.03,1.9,1.98,2.12,2.27,2.42,2.56,2.64,M,falange média do terceiro dedo
12,62,2.39,0.21,-0.152,2.364,0.084,0.13,1.97,2.06,2.2,2.36,2.52,2.67,2.75,M,falange média do terceiro dedo
13,50,2.49,0.23,-0.152,2.463,0.084,0.15,2.06,2.15,2.3,2.46,2.63,2.78,2.87,M,falange média do terceiro dedo
14,45,2.59,0.22,-0.152,2.567,0.084,0.1,2.14,2.24,2.39,2.57,2.74,2.9,2.99,M,falange média do terceiro dedo
15,43,2.65,0.15,-0.152,2.675,0.084,-0.1,2.23,2.33,2.49,2.67,2.86,3.02,3.11,M,falange média do terceiro dedo
6,42,3,0.22,-0.816,2.973,0.072,0.12,2.48,2.59,2.77,2.97,3.17,3.35,3.46,M,falange proximal do terceiro dedo
7,37,3.12,0.2,-0.816,3.093,0.072,0.1,2.58,2.7,2.88,3.09,3.3,3.49,3.6,M,falange proximal do terceiro dedo
8,55,3.23,0.24,-0.816,3.219,0.072,0.06,2.69,2.81,3,3.22,3.44,3.63,3.75,M,falange proximal do terceiro dedo
9,49,3.38,0.26,-0.816,3.35,0.072,0.13,2.8,2.92,3.12,3.35,3.58,3.78,3.9,M,falange proximal do terceiro dedo
10,55,3.46,0.23,-0.816,3.488,0.072,-0.13,2.91,3.04,3.25,3.49,3.72,3.94,4.06,M,falange proximal do terceiro dedo
11,46,3.62,0.28,-0.816,3.634,0.072,-0.07,3.04,3.17,3.39,3.63,3.88,4.1,4.23,M,falange proximal do terceiro dedo
12,62,3.82,0.32,-0.816,3.788,0.072,0.11,3.17,3.3,3.53,3.79,4.04,4.27,4.41,M,falange proximal do terceiro dedo
13,50,4.02,0.34,-0.816,3.95,0.072,0.26,3.3,3.44,3.68,3.95,4.22,4.46,4.6,M,falange proximal do terceiro dedo
14,45,4.17,0.27,-0.816,4.118,0.072,0.16,3.44,3.59,3.84,4.12,4.4,4.65,4.8,M,falange proximal do terceiro dedo
15,43,4.26,0.21,-0.816,4.293,0.072,-0.1,3.59,3.74,4,4.29,4.58,4.84,5,M,falange proximal do terceiro dedo
6,42,4.32,0.4,-0.301,4.345,0.076,-0.09,3.63,3.79,4.05,4.34,4.64,4.9,5.06,M,terceiro metacarpo
7,37,4.57,0.32,-0.301,4.556,0.076,0.04,3.81,3.97,4.25,4.56,4.86,5.14,5.3,M,terceiro metacarpo
8,55,4.85,0.41,-0.301,4.774,0.076,0.22,3.99,4.16,4.45,4.77,5.1,5.39,5.56,M,terceiro metacarpo
9,49,5.06,0.42,-0.301,4.998,0.076,0.15,4.18,4.36,4.66,5,5.33,5.64,5.82,M,terceiro metacarpo
10,55,5.22,0.32,-0.301,5.228,0.076,-0.03,4.37,4.56,4.88,5.23,5.58,5.9,6.09,M,terceiro metacarpo
11,46,5.41,0.43,-0.301,5.465,0.076,-0.13,4.57,4.76,5.1,5.47,5.83,6.17,6.36,M,terceiro metacarpo
12,62,5.75,0.42,-0.301,5.711,0.076,0.08,4.77,4.98,5.33,5.71,6.1,6.44,6.65,M,terceiro metacarpo
13,50,6.05,0.49,-0.301,5.964,0.076,0.19,4.98,5.2,5.56,5.96,6.37,6.73,6.95,M,terceiro metacarpo
14,45,6.29,0.45,-0.301,6.224,0.076,0.15,5.2,5.43,5.8,6.22,6.64,7.02,7.25,M,terceiro metacarpo
15,43,6.41,0.39,-0.301,6.491,0.076,-0.16,5.42,5.66,6.05,6.49,6.93,7.32,7.56,M,terceiro metacarpo
6,42,1.22,0.12,-0.251,1.22,0.099,0.01,1.02,1.06,1.14,1.22,1.3,1.38,1.42,M,falange distal do quarto dedo
7,37,1.28,0.12,-0.251,1.275,0.099,0,1.07,1.11,1.19,1.28,1.36,1.44,1.49,M,falange distal do quarto dedo
8,55,1.35,0.13,-0.251,1.333,0.099,0.15,1.11,1.16,1.24,1.33,1.42,1.5,1.55,M,falange distal do quarto dedo
9,49,1.4,0.16,-0.251,1.393,0.099,0.05,1.16,1.21,1.3,1.39,1.49,1.57,1.62,M,falange distal do quarto dedo
10,55,1.45,0.14,-0.251,1.456,0.099,-0.01,1.22,1.27,1.36,1.46,1.55,1.64,1.7,M,falange distal do quarto dedo
11,46,1.52,0.16,-0.251,1.521,0.099,-0.04,1.27,1.33,1.42,1.52,1.62,1.72,1.77,M,falange distal do quarto dedo
12,62,1.62,0.14,-0.251,1.59,0.099,0.19,1.33,1.39,1.48,1.59,1.7,1.79,1.85,M,falange distal do quarto dedo
13,50,1.72,0.23,-0.251,1.661,0.099,0.34,1.39,1.45,1.55,1.66,1.77,1.87,1.93,M,falange distal do quarto dedo
14,45,1.74,0.14,-0.251,1.736,0.099,0.03,1.45,1.51,1.62,1.74,1.85,1.96,2.02,M,falange distal do quarto dedo
15,43,1.78,0.13,-0.251,1.813,0.099,-0.21,1.51,1.58,1.69,1.81,1.94,2.05,2.11,M,falange distal do quarto dedo
6,42,1.78,0.17,-0.476,1.759,0.083,0.12,1.47,1.53,1.64,1.76,1.88,1.98,2.05,M,falange média do quarto dedo
7,37,1.85,0.16,-0.476,1.834,0.083,0.11,1.53,1.6,1.71,1.83,1.96,2.07,2.14,M,falange média do quarto dedo
8,55,1.91,0.16,-0.476,1.912,0.083,-0.01,1.6,1.67,1.78,1.91,2.04,2.16,2.23,M,falange média do quarto dedo
9,49,2.01,0.18,-0.476,1.994,0.083,0.12,1.67,1.74,1.86,1.99,2.13,2.25,2.32,M,falange média do quarto dedo
10,55,2.05,0.16,-0.476,2.078,0.083,-0.14,1.74,1.81,1.94,2.08,2.22,2.34,2.42,M,falange média do quarto dedo
11,46,2.18,0.2,-0.476,2.167,0.083,0.07,1.81,1.89,2.02,2.17,2.31,2.44,2.52,M,falange média do quarto dedo
12,62,2.29,0.19,-0.476,2.259,0.083,0.14,1.89,1.97,2.11,2.26,2.41,2.55,2.63,M,falange média do quarto dedo
13,50,2.41,0.2,-0.476,2.356,0.083,0.26,1.97,2.05,2.2,2.36,2.51,2.66,2.74,M,falange média do quarto dedo
14,45,2.48,0.2,-0.476,2.456,0.083,0.12,2.05,2.14,2.29,2.46,2.62,2.77,2.86,M,falange média do quarto dedo
15,43,2.52,0.15,-0.476,2.56,0.083,-0.2,2.14,2.23,2.39,2.56,2.73,2.89,2.98,M,falange média do quarto dedo
6,42,2.83,0.22,-2.634,2.783,0.075,0.21,2.33,2.43,2.6,2.78,2.97,3.14,3.24,M,falange proximal do quarto dedo
7,37,2.93,0.19,-2.634,2.898,0.075,0.15,2.42,2.53,2.7,2.9,3.09,3.27,3.38,M,falange proximal do quarto dedo
8,55,3.05,0.22,-2.634,3.018,0.075,0.13,2.52,2.63,2.81,3.02,3.22,3.41,3.51,M,falange proximal do quarto dedo
9,49,3.18,0.25,-2.634,3.143,0.075,0.15,2.63,2.74,2.93,3.14,3.36,3.55,3.66,M,falange proximal do quarto dedo
10,55,3.43,1.33,-2.634,3.273,0.075,0.6,2.74,2.85,3.05,3.27,3.49,3.69,3.81,M,falange proximal do quarto dedo
11,46,3.42,0.26,-2.634,3.409,0.075,0.04,2.85,2.97,3.18,3.41,3.64,3.85,3.97,M,falange proximal do quarto dedo
12,62,3.59,0.3,-2.634,3.551,0.075,0.14,2.97,3.1,3.31,3.55,3.79,4.01,4.13,M,falange proximal do quarto dedo
13,50,3.77,0.31,-2.634,3.698,0.075,0.25,3.09,3.22,3.45,3.7,3.95,4.17,4.31,M,falange proximal do quarto dedo
14,45,3.91,0.28,-2.634,3.852,0.075,0.19,3.22,3.36,3.59,3.85,4.11,4.35,4.49,M,falange proximal do quarto dedo
15,43,4,0.2,-2.634,4.012,0.075,-0.02,3.35,3.5,3.74,4.01,4.28,4.53,4.67,M,falange proximal do quarto dedo
6,42,3.78,0.38,-0.53,3.799,0.079,-0.06,3.17,3.31,3.54,3.8,4.06,4.29,4.42,M,quarto metacarpo
7,37,4.01,0.29,-0.53,3.983,0.079,0.09,3.33,3.47,3.71,3.98,4.25,4.49,4.64,M,quarto metacarpo
8,55,4.24,0.36,-0.53,4.175,0.079,0.18,3.49,3.64,3.89,4.18,4.46,4.71,4.86,M,quarto metacarpo
9,49,4.43,0.37,-0.53,4.375,0.079,0.16,3.66,3.81,4.08,4.37,4.67,4.94,5.09,M,quarto metacarpo
10,55,4.57,0.32,-0.53,4.582,0.079,-0.02,3.83,3.99,4.27,4.58,4.89,5.17,5.34,M,quarto metacarpo
11,46,4.75,0.39,-0.53,4.798,0.079,-0.12,4.01,4.18,4.47,4.8,5.12,5.41,5.59,M,quarto metacarpo
12,62,5.06,0.4,-0.53,5.022,0.079,0.09,4.2,4.38,4.68,5.02,5.36,5.67,5.85,M,quarto metacarpo
13,50,5.36,0.45,-0.53,5.255,0.079,0.25,4.39,4.58,4.9,5.25,5.61,5.93,6.12,M,quarto metacarpo
14,45,5.58,0.45,-0.53,5.496,0.079,0.19,4.59,4.79,5.12,5.5,5.87,6.2,6.4,M,quarto metacarpo
15,43,5.65,0.33,-0.53,5.746,0.079,-0.22,4.8,5.01,5.36,5.75,6.13,6.48,6.69,M,quarto metacarpo
6,42,1.03,0.1,0.437,1.034,0.096,-0.03,0.86,0.9,0.96,1.03,1.1,1.17,1.2,M,falange distal do quinto dedo
7,37,1.1,0.08,0.437,1.095,0.096,0.05,0.91,0.95,1.02,1.09,1.17,1.23,1.27,M,falange distal do quinto dedo
8,55,1.17,0.12,0.437,1.155,0.096,0.13,0.96,1.01,1.08,1.15,1.23,1.3,1.34,M,falange distal do quinto dedo
9,49,1.21,0.15,0.437,1.212,0.096,-0.02,1.01,1.06,1.13,1.21,1.29,1.37,1.41,M,falange distal do quinto dedo
10,55,1.27,0.12,0.437,1.272,0.096,-0.01,1.06,1.11,1.19,1.27,1.36,1.43,1.48,M,falange distal do quinto dedo
11,46,1.32,0.15,0.437,1.338,0.096,-0.15,1.12,1.17,1.25,1.34,1.43,1.51,1.56,M,falange distal do quinto dedo
12,62,1.42,0.12,0.437,1.41,0.096,0.08,1.18,1.23,1.32,1.41,1.51,1.59,1.64,M,falange distal do quinto dedo
13,50,1.5,0.15,0.437,1.478,0.096,0.16,1.23,1.29,1.38,1.48,1.58,1.67,1.72,M,falange distal do quinto dedo
14,45,1.55,0.1,0.437,1.531,0.096,0.11,1.28,1.33,1.43,1.53,1.63,1.73,1.78,M,falange distal do quinto dedo
15,43,1.56,0.13,0.437,1.572,0.096,-0.11,1.31,1.37,1.47,1.57,1.68,1.77,1.83,M,falange distal do quinto dedo
6,42,1.18,0.17,1.388,1.181,0.113,0,0.99,1.03,1.1,1.18,1.26,1.33,1.37,M,falange média do quinto dedo
7,37,1.24,0.15,1.388,1.236,0.113,0.01,1.03,1.08,1.15,1.24,1.32,1.39,1.44,M,falange média do quinto dedo
8,55,1.27,0.14,1.388,1.294,0.113,-0.14,1.08,1.13,1.21,1.29,1.38,1.46,1.51,M,falange média do quinto dedo
9,49,1.37,0.16,1.388,1.355,0.113,0.1,1.13,1.18,1.26,1.35,1.45,1.53,1.58,M,falange média do quinto dedo
10,55,1.38,0.16,1.388,1.418,0.113,-0.25,1.18,1.24,1.32,1.42,1.51,1.6,1.65,M,falange média do quinto dedo
11,46,1.45,0.17,1.388,1.485,0.113,-0.18,1.24,1.29,1.38,1.48,1.58,1.67,1.73,M,falange média do quinto dedo
12,62,1.57,0.16,1.388,1.554,0.113,0.07,1.3,1.36,1.45,1.55,1.66,1.75,1.81,M,falange média do quinto dedo
13,50,1.66,0.18,1.388,1.627,0.113,0.17,1.36,1.42,1.52,1.63,1.74,1.84,1.89,M,falange média do quinto dedo
14,45,1.73,0.21,1.388,1.703,0.113,0.14,1.42,1.49,1.59,1.7,1.82,1.92,1.98,M,falange média do quinto dedo
15,43,1.76,0.13,1.388,1.783,0.113,-0.12,1.49,1.55,1.66,1.78,1.9,2.01,2.08,M,falange média do quinto dedo
6,42,2.17,0.17,-0.606,2.143,0.08,0.14,1.79,1.87,2,2.14,2.29,2.42,2.5,M,falange proximal do quinto dedo
7,37,2.23,0.16,-0.606,2.228,0.08,0.03,1.86,1.94,2.08,2.23,2.38,2.51,2.59,M,falange proximal do quinto dedo
8,55,2.33,0.2,-0.606,2.318,0.08,0.06,1.94,2.02,2.16,2.32,2.47,2.61,2.7,M,falange proximal do quinto dedo
9,49,2.44,0.22,-0.606,2.413,0.08,0.12,2.02,2.1,2.25,2.41,2.58,2.72,2.81,M,falange proximal do quinto dedo
10,55,2.51,0.18,-0.606,2.517,0.08,-0.06,2.1,2.19,2.35,2.52,2.69,2.84,2.93,M,falange proximal do quinto dedo
11,46,2.61,0.23,-0.606,2.63,0.08,-0.09,2.2,2.29,2.45,2.63,2.81,2.97,3.06,M,falange proximal do quinto dedo
12,62,2.77,0.24,-0.606,2.753,0.08,0.1,2.3,2.4,2.57,2.75,2.94,3.11,3.21,M,falange proximal do quinto dedo
13,50,2.95,0.27,-0.606,2.881,0.08,0.3,2.41,2.51,2.69,2.88,3.08,3.25,3.36,M,falange proximal do quinto dedo
14,45,3.05,0.24,-0.606,3.013,0.08,0.16,2.52,2.63,2.81,3.01,3.22,3.4,3.51,M,falange proximal do quinto dedo
15,43,3.11,0.17,-0.606,3.149,0.08,-0.14,2.63,2.75,2.94,3.15,3.36,3.55,3.67,M,falange proximal do quinto dedo
6,42,3.47,0.31,-0.713,3.485,0.076,-0.04,2.91,3.04,3.25,3.48,3.72,3.93,4.06,M,quinto metacarpo
7,37,3.67,0.24,-0.713,3.658,0.076,0.05,3.06,3.19,3.41,3.66,3.9,4.13,4.26,M,quinto metacarpo
8,55,3.89,0.31,-0.713,3.838,0.076,0.18,3.21,3.35,3.58,3.84,4.1,4.33,4.47,M,quinto metacarpo
9,49,4.07,0.34,-0.713,4.027,0.076,0.14,3.36,3.51,3.76,4.03,4.3,4.54,4.69,M,quinto metacarpo
10,55,4.23,0.31,-0.713,4.224,0.076,0,3.53,3.68,3.94,4.22,4.51,4.77,4.92,M,quinto metacarpo
11,46,4.39,0.35,-0.713,4.429,0.076,-0.11,3.7,3.86,4.13,4.43,4.73,5,5.16,M,quinto metacarpo
12,62,4.7,0.35,-0.713,4.644,0.076,0.16,3.88,4.05,4.33,4.64,4.96,5.24,5.41,M,quinto metacarpo
13,50,4.95,0.43,-0.713,4.867,0.076,0.22,4.07,4.24,4.54,4.87,5.2,5.49,5.67,M,quinto metacarpo
14,45,5.16,0.37,-0.713,5.1,0.076,0.15,4.26,4.45,4.76,5.1,5.44,5.75,5.94,M,quinto metacarpo
15,43,5.26,0.3,-0.713,5.342,0.076,-0.2,4.46,4.66,4.98,5.34,5.7,6.03,6.22,M,quinto metacarpo
